++++++++ I2CBus ++++++++
BoardInfo: HW/SW ID: 0x11/0x174
ShuttleID: 0x46
Chip ID accel: 0x1f
Chip ID gyro: 0xf
Accel range: 0 Gyro range: 0

  ax	   ay	   az	    gx	     gy	     gz
-0.042	 +0.135	 +0.998	  -0001.0  +0000.3  +0000.2
-0.036	 +0.139	 +0.993	  +0000.7  +0000.2  -0000.1
-0.042	 +0.139	 +0.994	  +0000.9  -0000.4  +0000.4
-0.041	 +0.137	 +0.990	  -0000.2  +0000.5  -0000.5
-0.043	 +0.139	 +0.994	  -0000.3  +0000.1  -0000.2
-0.043	 +0.133	 +0.989	  +0000.0  +0001.5  +0000.3
-0.045	 +0.129	 +0.990	  +0000.1  +0000.7  +0000.1
-0.039	 +0.139	 +0.996	  -0001.2  +0000.4  -0000.4
-0.043	 +0.134	 +0.988	  +0000.3  +0000.8  +0000.5
-0.044	 +0.140	 +0.995	  -0000.5  -0000.2  -0000.5

Temperature: 24.00
